"Cuerpo","Calificacion"
"<div class='Normal'>Story:<br>
Tom Brand (Spacey) is a high-rolling business big shot and while he has achieved business success, his personal relationships are in the doldrums. He has an estranged young daughter Rebecca (Weissman) and wife Lara (Garner). He gets a shot at mending things with his daughter on her birthday but on visiting a pet shop run by Felix Perkins (Walken) the cat that he buys seems to trade souls with him. Felix is a bit more than meets the eye and tells Brand that he has a limited time to get back to his family or remain in feline form forever.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story: </strong>There’s no rest for the wicked, as the saying goes. But Arthur Bishop (Statham) is anything but wicked; a rebel with a cause, more likely. And Bishop’s arch-nemesis Crain (Hazeldine) has taken his girlfriend Gina (Alba) hostage. Crain tells Bishop that he will execute Gina unless and until he carries out a bunch of ‘hits’ (read: murders) for him. Dirty deeds done dirt cheap. But in this case, for love. Bishop has to comply. As fate deals it, Crain finds out that he has made a double-handed deal with the Devil himself.<br>
<br>
<strong>Review: </strong>Move over, Jackie Chan. Head to the back of the class, Matt Damon’s – now, honestly very yawn-inducing – Jason Bourne. Sylvester Stallone and Arnie, you are both legends and you both finally have a worthy successor. Pure action films, in this case revenge-action as a sub-genre, as this kind of movie is meant to be straightforward and to be digested by anyone whether they are ten years old or 50. Jason Statham is now the DUDE of unabashed, no-holds-barred action films. Despite the staid title like ‘mechanic’ and a plot line that is as simple as can be, Statham pulls punches – literally – like we haven’t seen in any action film this year. Okay, to be fair, at least not yet.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story:</strong> An Aussie teacher Will (Brett Lee) falls in love with an Indian woman, Meera (Tannishtha Chatterjee), a single mother based in Sydney. But given their cultural differences and Meera's past, can her family accept this 'UnIndian' match?<br>
<br>
<strong>Review: </strong>Anupam Sharma's romcom is a refreshing take on cross-cultural relationships in contemporary times. The film doesn't succumb to clichés. It is nothing like Gurinder Chadha's standard musical chick-flick with an overdose of Punjabi tadka, predominantly catering to the Indian diaspora and that is its victory. Though it has the usual characters — a ‘groom seeking’ Indian mom (Supriya Pathak, funny) and a conservative Indian father (Akash Khurana, effective), the situations are far more real and thus, relatable. There are noaloo gobi jokes either. Meera isn't seeking a wealthy Indian man settled in Australia, nor is Brett Lee a professional cricketer in the film.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'> <strong>Story: </strong>Two high school friends – David Packouz (Teller) and Efraim Diveroli? ?(Hill) – with a yen for weapons and the ability to make a few hundreds of millions of dollars or more, bag a deal from the Pentagon to supply arms to? ?American allies in Afghanistan. This is, after a decent bit of hustling. Seems straightforward enough? Probably not. For when the stakes are so high, you can bet anything that there’s going to be some dirty deeds being done.<br>
<br>
??<br>
<strong>Review: </strong>A quick lookup of this movie might label it to be a comedy. However, it is anything but that. If there is any humour in this, it is a brand of dark humour that is played upon with a light touch, thanks to the director’s and screenwriters’ vision. And of course, Teller and Hill, who both excel in their roles.<br>
<br>
 <div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>STORY:</strong> A live-action reboot of the original 1977 film (also by Disney), the film revolves around an orphaned boy Pete (Oakes Fegley), and his fascinating friendship with the gigantic green dragon, who he names Elliot.<br>
<br>
<strong>REVIEW: </strong>Elliot finds little Pete stranded in the woods, after he survives a car crash that kills his parents. On encountering the mammoth green creature, Pete innocently asks him, “Are you gonna eat me?” Elliot doesn’t. He (literally) takes the boy under his wing. The two strike up an unlikely friendship and stay inseparable for six years, until forest rangers and loggers stumble upon their whereabouts. While the dragon can go invisible, Pete cannot. Do they manage to stay together in the deep forest, in the world of their own; they had so fondly created, away from the human menace?<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story: </strong>The classic tale of Ben Hur (Huston) who is turned upon by his adopted brother Messala Severus (Kebbell) gets a modern-day retelling. Messala is a high ranking officer in the Roman Army while Ben Hur is an aristocrat. Their friendship gets soured and Messala falsely accuses Ben Hur of a crime that he did not commit. With everything taken away from him, Ben Hur must find the right path in life.<br>
<br>
<strong>Review: </strong>First off, it must be said that this film cannot and will not hope to replace the 1959 one that had Charlton Heston play the titular character. That movie, stretched over almost four hours was epic in every sense. But Huston does do a pretty decent job of essaying the role of Ben Hur with a degree of conviction. Kebbell’s Messala is suitably nasty, as he treacherously turns upon Ben Hur, motivated by silly and petty reasons.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story: </strong>A group of criminals – the Suicide Squad – are recruited by the US government to rid the world of an otherworldly menace that can, and will destroy humanity if allowed to run unchecked. True to their nature of being anti-heroes though, they nonetheless are rebels with a cause, all motivated by a sliver of goodness that still shines deep inside despite dark past histories. They are a motley crew, but when all else fails, it is only the Squad that can get the job – whatever it may be – done.<br>
<br>
<strong>Review: </strong>Suicide Squad has all the ingredients that are collectively essential to a superhero film. Action, witty dialogues delivered at the best of times and lots of special effects thrown in as well. But what this gang of delightfully crazy rogues offer is something subversive, a disregard for any pretense of doing something noble, and yet, they are all motivated by a simple desire to just get a chance at living a normal life again. Away from prison cells and maximum security establishments.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story: </strong>Jason Bourne, a former CIA assassin is back to being hunted by the agency as he is out to pursue significant truths about a devastating past event involving Treadstone (CIA’s black- ops programme) that questions his motives.<br>
<br>
<strong>Review:</strong> With Jason Bourne, Matt Damon reprises his most celebrated screen character for the fourth time after a gap of nine years! Watching him dodge the hitmen with his lightening reflexes and ruthless killing abilities once again, is a sheer delight. His quiet charm and understated aura reminds us why it’s hard for other actors (read Jeremy Renner) to step into his shoes as far as the Bourne franchise is concerned.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story: </strong>This reboot of the 1984 classic sees the Ghostbusters Erin Gilbert (Wiig), Abby Yates (McCarthy), Jillian Holtzmann (McKinnon) and Patty Tolan (Jones) team up to confront supernatural forces that are terrifying Manhattan.<br>
<br>
<strong>Review: </strong>Despite the title, and much like the original, this film doesn’t even pretend to be even anything remotely spooky. Instead, it comes across more as a nearly two-hour long joke reel that never takes itself too seriously. Devoted fans of the old film will no doubt look to compare almost every frame, but this film is best enjoyed as being seen as a standalone. Sure, there are quite a few cameos to delight diehards of Ivan Reitman’s flick. But they aren’t really all that consequential to the plot.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story: </strong>Sophie (Ruby Barnhill), a clever and curious 10-year-old orphan finds herself in the strange company of a giant dream-catcher, who she fondly calls the BFG (a brilliant Mark Rylance as the Big Friendly Giant). Unlike the other monstrous giants, BFG does not eat 'human beans' (read human beings). The two lonely souls bond over their mutual liking for adventures and form an unexpected friendship. But can Sophie be safe in the Giant Country?<br>
<br>
<strong>Review:</strong> In BFG's lingo, if I were to describe my first thoughts on watching this beautiful fairytale, I'd say, 'I IS HAPPY'. Steven Spielberg, the master storyteller weaves his magic once again and transports you to a world of fantasy that pleases the child in you. An enchanting tale on a chance companionship between an unlikely pairing has never been so riveting.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
