"Cuerpo","Calificacion"
"<div class='Normal'><em><strong>Story: </strong>Debbie (Hennig) and Laine (Cooke) are childhood best friends who keep no secrets from each other. Debbie finds an Ouija board and has a solo session with it. Soon afterwards, she kills herself. The distressed Laine tries to find out whether Debbie really died by her own hand or whether it was something more sinister.</em><br>
<br>
<strong>Review:</strong> Laine refuses to accept that her friend would take her own life. Debbie's boyfriend Pete (Smith) is also grief-stricken at the suddenness of it all. Laine decides to have one more session following all necessary protocols with the planchette and board and ropes in her reluctant boyfriend Trevor (Kagasoff), her Goth-chic sister Sarah (Coto) and another friend, Isabelle (Santos).<br>
<br>
They do this at Debbie's now-empty (her family leaves town for a while) home and almost immediately, the planchette begins to spell things out. Thereafter, they all find themselves haunted in broad daylight with various ominous signs.<br>
<br>
When one of them is picked off while flossing her teeth, it becomes a race against time (Laine again cobbles together her reluctant and now freaked-out gang) to get to the bottom of things before they're all killed (think Final Destination) one by one. Laine's grandma also provides helpful advice on how to neutralize the evil forces that are after them.<br>
<br>
Director Stiles plays it very safe with the jump scares and there is plenty of telegraphing. This only serves to dilute the impact of scenes that would otherwise have given you some serious scares. The spirits also seem to have a fondness for turning on gas stoves. Unfortunately, there are also bits of accidental humor that you would never want to find in a horror film.<br>
<br>
That said, Cooke does prove herself capable with her role and she does keep the movie from plodding to a standstill. A scene where Laine meets an old woman (Shaye) in a psychiatric hospital is definitely one of the better points. For a movie that is about the perils of summoning sinister specters, the film itself could have been scarier.

","2"
"<div class='Normal'><em><strong>Story:</strong> It is 1945 and the European theatre of World War II is in its final stage. For a tough-as-nails tank crew in the 2nd Armored Division of the US Army, their M4A3E8 Sherman named 'Fury' is a safe haven in an environment where death can come at any moment, from any angle. Their mettle and courage is tested for one crucial mission.</em><br>
<br>
<strong>Review:</strong> Sgt. Don 'Wardaddy' Collier (Pitt) leads a tightly-knit tank crew with a mixture of compassion, loyalty and toughness. They have fought together since the North African campaign and have been through hell. Boyd 'Bible' Swan (LaBeouf) is the gunner; Trini 'Gordo' Garcia (Michael Peña) drives and Grady 'Coon-Ass' Travis (Jon Bernthal) loads the 76mm gun. Norman Ellison (Lerman) is the rushed replacement for their assistant driver/bow gunner who met his end courtesy a German shell. Norman is initially disliked by all of them. But in time, Collier develops a bond with Norman, perhaps finding a bit of humanity in him that has all but vanished from the world around them.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story</strong>: <em>The film tells the story of American investigative journalist Gary Webb, whose controversial story 'Dark Alliance' caught the nation's attention and shook the CIA. It also discloses the consequences Webb had to bear for his pursuit of truth. </em><br>
<br>
<strong>Review</strong>: In 1996, Webb (Jeremy Renner) alleged that the CIA (Central Intelligence Agency) supported Nicaraguan rebels to smuggle cocaine into the United States in exchange for raising funds to covertly support the contras. His shocking revelation about CIA's connection with cocaine dealers obviously didn't go down too well with the agency and its closet publicists – the mainstream press. Inevitably, Webb's ballsy act invited counter-attack. Soon, the credibility of his low-life sources and his integrity as a journalist were questioned. His own newspaper buckled under pressure, thus doubting his ethics, which eventually drove him over the edge.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story: </strong>A young Los Angeles couple's filmed adventures in the bedroom from the night before go public by mistake, leading to the two going on a justifiably panic-stricken search for the whereabouts of their sex tape.<br>
<br>
<strong>Review: </strong>Jay (Segel) and Annie (Diaz) go at it like bunny rabbits whenever the opportunity arises. You definitely get the point that yes, they do in fact have the kind of energetic sex life that can wreak havoc on whatever kind of furniture the both of them happen to be on. All is hunky-dory till after marriage and, later, kids enter the scene. Things get a bit dull between them in the boudoir. They're simply just a bit too tired to get it on at the end of the day after various domestic duties have been fulfilled.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2.5"
"<div class='Normal'><em><strong>Story:</strong> A successful Chicago defense attorney, Hank Palmer (Downey), receives a call whilst in the courtroom, informing him that his mother has died. He rushes to his hometown for the funeral and later, extends his stay when his father faces a murder charge.</em><br>
<br>
<strong>Review</strong>: The Judge is a great example of meticulously-crafted character portrayals and a film that carefully builds up each of the main characters over the course of its duration.<br>
<br>
The passing of Hank's mother opens old wounds in his family. Older brother Glen (D'Onofrio) aims sarcastic, bitter barbs at Hank while he is still beside his mother's coffin. The youngest brother (Strong) is a simpleton with a childlike innocence who does nothing but shoot home videos most of the time. His father, a judge named Joseph Palmer is a tough nut to crack but a fascinating character, nonetheless. He is a typical old-school dad and an honest-to-a-fault judge. He feels that Hank left his family in the lurch and chose to focus on his career instead. Joseph makes this abundantly clear with his blunt, boorish language. Therefore, the death of Hank's mother puts the spotlight on the Palmer family's past cohesion and current fragmentation.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><em><strong>Story:</strong> Dracula Untold is an origin tale of how Vlad the Impaler acquired his identity as – in his own words in the movie – 'Count Dracula, Son of the Devil'.</em><br>
<br>
<strong>Review: </strong>Contrary to the title of the movie, this story aims to tell all that has yet been untold about the 15th century Transylvanian tyrant who had the nasty (for some of the townsfolk who disobeyed him and all of his enemies, that is), habit of skewering their heads on tall stakes. Of course in this film, there are many creative liberties thrown in, not all of them savoury.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><em><strong>Story: </strong>The film tackles the age-old question of whether friends can become lovers. And by extension, what happens if your best pal also turns out to be the one you secretly desire. Wallace (Radcliffe) and Chantry (Kazan) portray this scenario.</em><br>
<br>
<strong>Review:</strong> At the heart of this film is the aforementioned question of balance regarding friendship and romance between Wallace and Chantry. Their universes collide during a house party, over a seemingly mundane conversation in a kitchen. A spark is ignited and there appears to be instant, though cautious, mutual attraction.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><em><strong>Story</strong>: Without any prior indication, the Rapture (an event referred to in the Bible) occurs and most of the planet's population simply disappears. Of the people left behind are also some passengers in a commercial airplane on a flight. Not only do they have to make sense of what has happened, landing the crippled plane is also a concern. </em><br>
<br>
<strong>Review:</strong> An aircraft pilot needs to be prepared to effectively handle various emergencies that can arise when the aircraft is in flight. However, handling an event known as the Rapture (where good people, essentially those who have not sinned, are snatched up to heaven, and the others are, well, left behind) is probably not in any pilot's emergency handbook.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2"
"<div class='Normal'><em><strong>Story:</strong> Mia (Annabelle) and John (Ward) are eager to welcome their first born into the world. Theirs is happy marriage in a happy home. One day, the husband unwittingly gifts his pregnant wife a demonic doll that wreaks havoc on their lives.</em><br>
<br>
<strong>Review:</strong> Mia and John make for a perfect couple. Within the context of a horror film though, their idyll is almost like a precursor to the bad things that will eventually blight them. It starts soon after the above-mentioned 'gift' is placed in the room that Mia and hubby have lovingly prepared for the baby they're expecting.<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story: </strong><em>Two police officers from the Bronx, Sarchie (Bana) along with his partner Butler (McHale), investigate the latest in a series of gruesome incidents. Despite being witness to the worst that humanity has to offer in terms of crime, they realize that this particular case has some seriously sinister undertones.</em><br>
<br>
<strong>Review:</strong> It would take a lot to truly shock officer Sarchie, who has nerves of steel and would not think twice about putting his own life on the line when it comes to doing his duty as a cop. Sarchie and his equally adept partner Butler receive a call one night to investigate an incident at the Bronx Zoo.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3"
"<div class='Normal'><strong>Story:</strong> <em>An online encounter between two singletons in New York leads to a one night stand. The morning after isn't as sweet though and they have a mighty row. But thanks to a huge snowstorm, Megan (Tipton) is forced to stay put in Alec's (Teller) apartment for a while and the two have no choice but to get better acquainted.</em><br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
