"Cuerpo","Calificacion"
"<div class='Normal'><strong>Story: </strong><em>The Fifth Estate traces the story of WikiLeaks founder Julian Assange (Cumberbatch) who teams up with Daniel Berg (Brühl) to become international watchdogs. Via WikiLeaks, they expose corruption, lift the lid on corporate crime and shed light on government wrongdoings.</em><br>
<br>
<strong>Review: </strong>The slick opening montage of this movie sets the stage for a potentially exciting and gripping story. Assange starts out with nothing, but his silent resolve, coupled with vision, determination and focus, far outreaches his finances. His reputation as a hipster/hacker grows and partnering with Berliner, Berg (a brilliant programmer) is a masterstroke. Together, they make WikiLeaks a force to reckon with.<br>
<br>
As Assange knows that WikiLeaks offers the kind of shocking information that he feels people want to – and probably should – know about, his obsession starts veering towards paranoia. He also has a nose for sensationalism.<br>
<br>
His friendship, followed by a disagreement with Berg is reminiscent of the Zuckerberg-Saverin equation from <em>The Social Network</em>. While that movie brought to light various aspects about human nature, <em>The Fifth Estate</em> doesn’t come close in edginess. You will however, wonder about whether Assange is in it for the greater good, or to feed his own galloping ego. He realizes he has access to information that can make governments quake, and that kind of power can go to anyone’s head.<br>
<br>
Sarah Shaw (Linney) and James Boswell (Tucci) of the US State Department portray their roles well and represent much about the US Government’s perspective on transparency. While the real Julian Assange presently languishes in diplomatic asylum at the Ecuadorian Embassy in London, Cumberbatch does a good job of portraying the embattled whistleblower.<br>
<br>
Cumberbatch’s Assange is emotionless, cold and sometimes a bit sinister. For someone who insists on global transparency, his own personality is paradoxically as impervious as a cold steel wall. You wonder what actually is going on inside his head.<br>
<br>
A movie about Assange and WikiLeaks is bound to be tough to tackle and while it has a few things going for it, Condon could have scored better if he chose to focus deeper on Assange’s admittedly complex and mysterious psyche.

","3"
"<div class='Normal'><strong>Story: </strong><em>The film documents the 2009 hijacking of the US-flagged cargo ship ‘Maersk Alabama’ by Somali pirates. Unarmed and unprepared… how Captain Phillips (Tom Hanks) and his crew tackled the intruders forms the story.</em><br>
<br>
<strong>Review:</strong> If <em>Gravity</em> made you experience the horrors of space, this tense drama in the high-seas will leave you feeling claustrophobic. The film is an archetypal Paul Greengrass thriller, which keeps you on the edge of your seat with its twists and turns. It engages you in deciphering the consequences of a criminal activity that unfolds onscreen.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Story: </strong><em>Ray Breslin has written the book (literally) on structural security. His job is to pose as a prisoner and then escape from that jail, in order to alert the authorities to its security flaws. The last job he accepts is to break out of an ultra-secure facility, whose location is secret. Once inside, Breslin realizes he must work with fellow inmate Emil Rottmayer in order to escape.</em><br>
<br>
<strong>Review: </strong>After a successful breakout from a high-security lockup, Breslin’s business partner Lester Clark (D’Onofrio) then convinces him to accept one last job offered to them by the CIA because of the large payout guaranteed to them. Accordingly, Breslin and work-mates Hush (50 Cent) and Abigail (Ryan) head to a rendezvous point in New Orleans. Things quickly take a different turn.<br>
<br>
Like lumbering man-mountains, Breslin (Stallone) and Rottmayer (Schwarzenegger) harness some serious brain-muscle to go with the testosterone-powered brawn. Håfström (known for his horror flicks) gives each of the main characters clearly-defined attributes. Breslin never loses his cool. Rottmayer is unpredictable. The evil warden Hobbs (Caviezel) looks calm, unflappable and collects butterflies, but you get the feeling that inside, he’s a raving psychopath. Dr Emil Kaikev (Sam Neill) is the prison doctor whose critical sense of conscience injects some much-needed pathos into the proceedings.<br>
<br>
Arnie and Sly are synonymous with action films. Even though both, The Governator and the Italian Stallion are a tad worn around the edges, the two of them serve up some unfussy meat-and-potatoes fare. The script avoids cheesy lines but Schwarzenegger does have some memorable ones, like “You hit like a vegetarian”.<br>
<br>
Their biceps and forearms are as thick as hams, but the ammunition expenditure and fight scenes are scaled back. The pace does, however, go into higher gear during the second half. The characters fit to a tee, except for 50 Cent, incongruously miscast as a computer nerd! The action is routine but the way they plan the escape is interesting and inspired. These guys may be old, but they sure know their chops and can still deal the dice, old-school style.

","3.5"
"<div class='Normal'><strong>Story:</strong> <em>Tim (Gleeson) gets clued onto a family secret - all the gents in the house have the ability to travel through time! He then goes about using this power to sort out various wrongs in his life and win over his lady love.</em><br>
<br>
<strong>Review:</strong> With a movie title that couldn't possibly be more literal, <em>About Time</em> features an amalgamation of love and philosophy. From the director with a filmography including <em>Notting Hill, Four Weddings</em> <em>and a Funeral,</em> <em>Love Actually</em> and <em>Bridget Jones's Diary, </em>you could safely come to the conclusion that Curtis could spin out another romcom blindfolded. He manages to move beyond flightiness and stops just short of being maudlin or mawkish.<br>
<br>
Tim's dad (Nighy) reveals the time-travelling secret to junior one day. Forget about quantum physics and those lifelong labours of Stephen Hawking and his ilk; apparently, all it takes to time-travel is to close your eyes, clench your fists and focus really hard.<br>
<br>
Not one to waste such a phenomenal gift, Tim is certainly a man with his priorities in order. Forgetting about everything else, he decides to focus on romance in general, Mary (McAdams) in particular, and use his new time-travelling trick to set right certain wrongs.<br>
<br>
Mary is a bit airy. She has her faults but attempts to be endearing. Indeed, Tim and she share an easy chemistry. Gleeson is no Hugh Grant, but McAdams is a highlight in this film. The film is inexplicably long but the genuinely funny jokes that pepper the plot save the film from plodding into a sentimental soup.<br>
<br>
There is a strong idealistic streak running through <em>About Time.</em> After all, which one of us wouldn't want to go back in the years and change certain things? What if we had said the right thing at the right time to him or her...or perhaps avoided that misunderstanding? Wouldn't that relationship have worked out?<br>
<br>
Ultimately, the message is simple and visceral enough to have crossover appeal. Give it a shot if romantic comedies float your boat.<br>

","3"
"<div class='Normal'><strong>Story:</strong> <em>After a space mission goes awry, astronauts drift into space, losing not only their sense of direction, but also hope for survival.</em><br>
<br>
<strong>Review: </strong>Do you regret not taking enough risks in life? Do you often envy those who take the road less travelled? Do you wish you could escape your mundane life and fly into the sky like a free bird to touch the moon and the stars?<br>
<br>
<div id='mvslider' style='display:none;'>movie","4.5"
"<div class='Normal'><em><strong>Story</strong>: Dodi Al-Fayed was not the only one. This film is about the love-struck Princess of Wales’ last real-life love affair with a Pakistani heart surgeon.</em><br>
<br>
<strong>Review</strong>: Except for getting Princess Diana’s iconic hairdo, outfits and head tilts right, Diana, the biopic fails to recreate the magic of the ‘queen of hearts’. While she was loved for her style, concern for the helpless and unabashed speeches, her personal life invited unwanted media attention. Not one to follow the rulebook, her biopic fails to replicate the massive curiosity and intrigue she evoked during her tumultuous lifetime and death in 1997.<br>
<br>
The film is based on her real-life relationship with a Pakistani heart surgeon, Hasnat Khan (Naveen Andrews), whom she met two years before her death. The lesser known love affair disappoints, since it makes the film look like any other mediocre, run-of-the-mill romantic drama.<br>
<br>
As a result, the immensely talented Naomi Watts too keeps slipping in and out of her larger-than-life character, making it hard for us to remember that we are watching a biopic on Diana in the first place. It’s a pity that of all the Diana stories, the director chose to adapt this one for the big screen.<br>
<br>
Unfortunately, the story-telling is as dull as the story. Dialogues fall flat. Sluggish pace and predictable confrontations make matters worse. Diana cooks, plays the piano, wears a wig, cleans her beau’s room and does the dishes. This is all you get to see for over two hours. Her interaction and confessions with her acupuncturist would have made for a better story.<br>
<br>
Surprisingly, the royal family members are kept off-screen. William and Harry barely make an appearance. This makes the on-screen Diana look too self-absorbed and detached from her children. Her falling for Hasnat (love at first sight) looks unconvincing and so does her on-off depression. The filmmaker however manages to touch your heart when you see the princess reaching out to the underprivileged.<br>
<br>
If you are fine with seeing Diana as the ‘needy’ woman solely looking for love, living in suffocating secrecy, you may like the film. If you expect to revisit the aura of mystery surrounding her, you will be disappointed.<br>
<br>

","2"
"<div class='Normal'><em><strong>Story</strong>: A brilliant Princeton math student attempts to rescue his broke bank account by risking all in an online poker game. After he’s cheated of his last cent, he flies to Costa Rica to sort things out with the owner of that gambling website.</em><br>
<br>
<strong>Review</strong>: You’ve seen thrillers that are intricate, detailed and unfold at their own pace, allowing the viewer an immersive experience. Runner Runner isn’t quite like that. It’s a breezy film that runs breathlessly from start to finish, pretty much as the movie title suggests it does.<br>
<br>
Richie (Timberlake) is a razor-sharp Poker hand who can’t resist a good deal. He loses everything one night even as his pals watch disbelievingly. When he reaches gambling haven Costa Rica, he meets the über-smooth, louche and nefarious gambling tycoon and villain Ivan (Affleck), who predictably enough, takes Richie under his wing, and throws wads of dollar bills his way every now and then as rewards.<br>
<br>
One of those rewards is also a chance to sleep with his oomphy and curvaceous (even if somewhat vacuous) moll, Rebecca (Arterton), whom Richie begins to lustfully eye almost as soon as he becomes a part of Ivan’s Clicquot-swilling clique.<br>
<br>
So swayed is Richie that it takes a sudden intervention from FBI Agent Shavers (Mackie) to forcefully let Richie know about the rot in Ivan’s Caribbean Empire of Sin. Soon, Richie gets to know what the old adage ‘never trust a gambler’ means.<br>
<br>
Affleck is at ease in his role and has some good lines. It’s pretty apparent that Timberlake channels more than a few stylistic touches and mannerisms from some of his recent roles. Early on in the movie, Furman shifts focus from Poker to something else. Arterton’s Rebecca seems comfortable with being the eye-candy and is every part the bombshell, a much-needed counterpoint in this casino boogie of a movie, otherwise full of tumbling dice and dirty deals in broad daylight.<br>
<br>
A promising plot like this could have offered you a full course, yet what you’re served is diet fare at best.<br>

","2.5"
"<div class='Normal'><strong>Story:</strong> S<em>et in 2154, the film gives us a grim view of the future, where the poor live on an over-populated, ruined earth, the rich on a luxurious</em> <em>space station. Can one man bring about a change?</em><br>
<br>
<strong>Review: </strong>Mutants, superheroes, aliens, gadgets...while Hollywood fancies fiction that's more escapist, Neill Blomkamp, in his inimitable style, gives us a dark science fiction thriller that's relevant to present-day society and existing social and economic inequality.<br>
<br>
Blomkamp's splendid vision merges facts and fiction to give us a grim view of the future (the year is 2154), when earth is over-populated and ruined. The gap between rich and poor couldn't be more evident. With crime and the disease rate on a high, the planet is no longer fit for human habitation. The rich relocate to a man-made space station 'Elysium', which exclusively offers them luxury and high-tech medical facilities.<br>
<br>
In order to preserve their lifestyle, immortality and longevity, they ensure that the poor gain no access to Elysium. Max (Matt Damon), an ordinary factory worker, gets exposed to a severe dose of radiation that can only be cured on Elysium. He has five days to live. Can he get there?<br>
<br>
No matter how gripping, Elysium is no match for Blomkamp's hard-hitting 'District 9'. Scenes of the protagonist Max running around, trying to get help from the thugs featured here, become repetitive. The villains (Jodie Foster as Elysium's cold and conniving protector and Sharlto Copley as a sleeper agent) are one-dimensional.<br>
<br>
However, what works in the film's favour is the director's satirical intent. There's a scene where a factory owner asks his employee to cover his mouth while talking. Fearing he might catch an infection, he orders, 'Don't breathe on me.' It's this acute portrayal of the mindset of the 'heartless rich' that grips you.<br>
<br>
The premise is thought-provoking with the whole 'degradation of human life' theme deeply affecting your psyche. Aerial shots of over-populated earth might even remind you of Mumbai.<br>
<br>
<em>Elysium</em> is like a warning of a disturbing future that we can all see coming.<br>

","3.5"
"<div class='Normal'><strong>Story: </strong><em>A frustrated English art curator Harry Deane (Firth) tries to get one up over his boss by conning him into buying a fake painting worth millions. As part of the ruse, Harry enlists the help of his assistant and a feisty Texan lady.</em><br>
<br>
<strong>Review: </strong>While billed as a remake of a 1966 movie starring Michael Caine and Shirley MacLaine, this film seems a very distant, though modern facsimile of the former. Life is difficult for Harry because his boss, a millionaire mogul called Lionel Shabandar (Rickman, sharp as ever), tends to make his bumbling minion feel like an idiot. What Harry does know a lot about, however, is art. He can tell a Rembrandt from a Monet with just a glance and a very good fake from the real McCoy.<br>
<br>
Deciding to con his boss, Harry isolates Monet's 'Haystacks' (thought to be lost in the aftermath of Nazi-occupied Europe in World War II) and enlists his trusty assistant, The Major (Courtenay) to forge a copy of the same. As part of the ruse, Texan cowgirl P.J. (Diaz), in whose grandma's (Leachman) house the fake Monet hangs, is flown down to England to meet, charm and seal the deal with Shabandar for the rare canvas.<br>
<br>
P.J. seems to embody almost every aspect of a Texan parody available. But enough is telegraphed in a film of this sort, and things can and will unravel. As Shabandar and P.J. develop their own chemistry, Harry's plan seems to fizzle. And what Harry doesn't know is that as a final insulting coup de grâce, Shabandar plans to fire him and replace him with German art appraiser Zaidenweber (Tucci).<br>
<br>
Rickman and Firth fit their roles like a glove while Diaz with the Texan chic, yee-hawing in Central London, is a bit silly. However, Hoffman uses London as a backdrop rather nicely. And the Coen Brothers' (screenplay) stamp is more than evident. This is a fairly standard heist comedy, but is loaded with just enough silly humour and charm to make it a pleasant ride.

","3"
"<div class='Normal'><strong>Story: </strong><em>The Dover and Birch families meet for a Thanksgiving dinner, after which their six-year-old daughters Anna and Joy go for a walk. They don't return. The occupant of a van parked outside is the immediate suspect. Keller Dover (Jackman) then embarks on his own manic search for the girls.</em><br>
<br>
<strong>Review:</strong> Keller is a religious man whose motto is to 'be prepared'. Accordingly, his basement is stocked up for an apocalypse and the lines on his face show that he's known struggle all his life. Alex Jones (Dano) is the occupant of the dilapidated van parked outside their home and after the girls go missing, Keller's gut instinct that Alex is behind the abduction turns him into a man obsessed with breaking Alex.<br>
<br>
Investigating the case, Detective Loki (Gyllenhaal) is tattooed, brooding, speaks little but is firm. His only sign of emotion is a nervous facial tic. He has never lost a case before but this one tests his mettle to breaking point. His performance builds with quiet intensity. After a round of questioning, Alex, who seems to have the cognitive ability of a small child, is released. Nancy and Franklin Birch (Davis, Howard) believe in Loki's efforts but are mired in grief. As the search goes on and hope begins to dim, Keller descends into his own heart of darkness and his wife Grace (Bello) slips into a sedative haze.<br>
<br>
The violence isn't glamourised, but looks as real as possible and therefore, sometimes disturbing. Most visual cues are suggested, but are never overt. Villeneuve's meticulous vision and cinematographer Roger Deakins' lustrous palette of greys, blacks and overcast skies set up an ominous mood, aided superbly by Jóhann Jóhannsson's music.<br>
<br>
A film with many emotional components, the visceral panic, desperation and helplessness any parent would feel when their children are abducted, forms its bedrock. Each watershed point takes its own time to build. This ensures that you will want to pay attention to the details that makes <em>Prisoners</em> so enjoyable.<br>
<br>

","4.5"
