"Cuerpo","Calificacion"
"<div class='Normal'>Okay. Let's assuage your curiosity at the onset. Here's the answer to your million dollar question: No! apni Aishwarya doesn't disappear from the screen when you blink your eyes. Ever since her presence in Pink Panther was announced, the grapevine has been bustling with queries about the length and breadth of her role, with sceptics predicting a mere cosmetic presence. Remember Mallika Sherawat in Jackie Chan's The Myth?<br>
<br>
Well, Ash may not have much to say in this Steve Martin show, other than stock lines. And, she may have spent most of her time as a svelte, also-starring, member of the Clouseau gang. But she plays a role that's of a completely different hue from her popular Bollywood avtars. Reason enough for the desi film buff to celebrate our desi girl's cross over. But of course, we, being the argumentative Indians, do have a niggling query...How come, most of the men have their hormones shooting up for the sober Nicole (Emily Mortimer), when actually, there ain't nobody like our desi girl? Strangely, nobody has the hots for Ash and both Andy Garcia and Steve Martin seem to go in a tizzy whenever the dumb, drab blonde's around. Ekdum hard to digest.<br>
<br>
The film's a light and breezy comedy which you can definitely enjoy, if you stop looking for Peter Sellers in Steve Martin. Martin's Inspector Clouseau is a bumbling, bright old fella who bites the dust, whenever he is supposed to stand tall and vice versa. Elevated from his punishment posting as a traffic cop to the elite dream team set up to nab The Tornado, the new thief round the block, he sets out on a goofball mission that sees him doing the silliest things, with French panache. The Tornado has already stolen the Magna Carter, the sword of the Japanese Emperor and now wants to steal the famed diamond, The Pink Panther, which is a symbol of French honour. The international team of detectives, comprising stalwarts like Andy Garcia, Alfred Molina, Jean Reno, Aishwarya Rai, sets out on a roller coaster ride of upmanship.<br>
<br>
Needless to say, it's affable old Clouseau who steals the show, with his antics, which include a hilarious rip-off as the Pope. And yes, his love-hate relationship with Chief Inspector Dreyfuss (John Cleese) literally sets the guns blaring. Don't expect a monumental performance by Aishwarya, and you'll find this sequel a pleasant viewing.<br>
<br>
<br>

",
"<div class='Normal'><span style='font-size: 10pt;'><script language='javascript'>doweshowbellyad=0; </script></span>",
"<div class='Normal'>History records there were 15 assassination attempts on Hitler, and all of them were futile. For, the world's most controversial head of state actually committed suicide, nine months after a bombing attempt on him boomeranged. Valkyrie is a nail-biting historical thriller on this foiled assassination bid which might have changed the course of history if it had succeeded on July 20, 1944, when a bomb went off during Hitler's official briefing, causing just superficial burns to Der Fuehrer. The botched up attempt was followed by a series of arrests (700) and executions (200), even as Hitler's grandiose dreams of world domination were turning into a nightmare.<br>
<br>
But Valkyrie isn't about the vengeance that followed; it is more about the man who might have ended up as history's biggest hero: Colonel Von Stauffenberg (Tom Cruise) who didn't mind being guilty of high treason, as long as he could save his country from ill-repute and disdain. With an eye patch and a disabled hand, Stauffenberg turns out to be the only unscarred German who managed to build a team of righteous men, ready to rid their country of the dictator with a dubious human rights' record. Stauffenberg not only manages to carry the bomb and place it right under Hitler's nose, he chalks out a meticulous military coup too and almost sets up a parallel government, after the explosion that might have blown an ordinary mortal into smithereens. But Hitler was destiny's child, or so it seemed. For even as Stauffenberg's men go about arresting the guilty Nazis, the radio sends out Hitler's broadcasts....<br>
<br>
Bryan Singer has always been a skilful storyteller with a handle on the thriller noir. Remember Usual Suspects? Well, Valkyrie may not have the unpredictable twists that made Usual Suspects an Oscar winner, nevertheless, it does keep the adrenalin pumping, as you keep pace with this historical thriller that draws much of its appeal from the fact that it happened in the cataclysmic 1940s, where one aberration might have altered the course of world events. While Hitler largely figures as a silhouette in the film, it is Tom Cruise who remains with you as the tormented military man with a conscience that precluded him from raising his hand to `Hail Hitler!', the ubiquitous Nazi salute.<br>
<br>
<br>
<br>

",
"<div class='Normal'>Brokeback Mountain may have come and gone, winning Oscars for its gay heroes and it's paean to sexual liberty. Just as 30 years may have passed since the assassination of gay activist, Harvey Milk. But the story of equality remains almost where it was, the world over. Homosexuality still isn't accepted as easily as heterosexuality and the closet is still tumbling out with `me too' stories of alternate sexual preferences.<br>
<br>
Hence the importance of a biopic on Harvey Milk (Sean Penn), the first openly gay man who ran for public office in San Fransisco in the 1970s and ended up being elected as supervisor, after 3 failed attempts. From a champion of gay rights in a homophobic society, Milk metamorphosed into a human rights activist and became a national hero in his short life span which became a beacon of hope for any and every marginalised soul. And why not? Specially since there was a single credo behind every campaign that Milk initiated. He simply believed: All men are created equal. No matter how hard you tried, that could never be erased.<br>
<br>
The film follows Milk's transformation from a carefree hippie who moves from New York to San Fransisco with his companion (James Franco), sets up a camera shop in the working class neighbourhood and decides to do something meaningful with his drifter's life. As a public officer, he campaigns for a gay rights' ordinance and unleashes a fiery fight against a ruling that empowers the government to sack people on the basis of their sexual preferences. This brings him in conflict with Dan White (Josh Brolin) a conservative Christian and a seemingly straight member of the Board of supervisors, who cannot accept this `ungodly' (that's what he believes) behavioural code. This is the beginning of a fateful relationship which culminates in a tumultuous climax.<br>
<br>
Watch it for an unforgettable performance by Sean Penn who is heroic in his ordinariness, proving that outliers and high-flyers are made, not born.<br>

",
"<div class='Normal'>Farah Khan and Zoya Akhtar aren't alone in going behind the silver curtain and uncovering the grime that lies beneath the glamour of tinsel town. Barry Levinson, the director who brought us the delectable political satire, Wag the Dog, now tries to give us a dekko at what lies out there in the chaos-ridden, cruel studios of Hollywood.<br>
<br>
Based on the memoirs of Hollywood producer, Art Linson, the film traces the high drama that takes over the life of fading filmmaker, Ben (Robert DeNiro), as he tries to survive in a cut-throat industry that is forever on `delete' mode. On the one hand, Ben has a terrible film in the cans which faces the scissors at the studio screening itself. The film, which features Sean Penn in the lead, has a controversial climax of a dog being shot in the head. Reason enough for the studio heads to put it on hold. On the other hand, his new venture can't begin because the new hero, Bruce Willis has grown a beard and a bulging middle. Add to this, is Ben's still lingering passion for ex-wife, Robin Wright Penn, which makes the separation-therapy he's undergoing absolutely ineffective.<br>
<br>
Recipe enough for loads of drama that keeps the entertainment meter alive and kicking. But not really something you'd expect from Raging Bull, Robert DeNiro..<br>

",
"<div class='Normal'><span style='font-size: 10pt;'><script language='javascript'>doweshowbellyad=0; </script></span>",
"<div class='Normal'>Based on the self-help book written by Greg Berhendt and Liz Tuccillo, the film is a string of stories, loosely interwoven, with just one intention. They propose to tell you when a guy is interested in you and when is he trying to avoid you. How profound! Now, when did we need a book to unravel the mysteries of the heart. If only relationships could be worked out by flipping pages of a bestseller.<br>
<br>
Forget the lament. The stories are actually light and easy viewing, although they might have crackled with a bit of comedy in them. The only funny story that makes you laugh is the desperate man hunt by a dotty Ginnifer Goodwin who spends most of her time staring at her phone, almost willing it to ring. She's waiting for the guy she met last night to call her back for another date, maybe tonight. Of course, no one calls back and Ginnifer wonders whether she's the exception or the rule when it comes to love fulfilled.<br>
<br>
The other confused in-love, out-of-love Baltimore girls include Jennifer Aniston who's wondering why Ben Affleck doesn't propose marriage, despite living with her for seven long years; Jennifer Connelly who is willing to forgive her husband a one-night stand, but can't handle his covert smoking; Scarlett Johansson who falls in love with a married man who feels too guilty after succumbing to her charms. And finally, there's Drew Barrymore who finds mates easily on MySpace but can't seem to attract anyone in real life.<br>
<br>
This one's sheer candy floss, meant for a Valentine viewing. Don't go looking for heart-tugging romance and you won't end up disappointed.<br>
<br>
<a href='http://photogallery.indiatimes.com/articleshow/4122034.cms' target='_blank'>Also check out more stills from He’s just not that into you</a><br>
<br>

","3"
"<div class='Normal'>Boyz will be boys. And cars will be cars. Fast and furious; spinning out of control; racing, bumping, crashing into each other at god-knows-what speed! Anyone for the thin plot line? A gorgeous young automobile fanatic and front to the hottest unsigned band on the West coast, Natasha Martin (Nadia Bjorlin) is the racing beauty who finds herself caught up in illegal drag-racing competitions organised for the pleasure of a bunch of bored billionaires. Also, meet the leader of the pack, Infamous (Eddie Griffin) and Carlos, the soldier (Nathan Phillips) who comes home from Iraq, only to end up as Natasha's knight in shining armour.<br>
<br>
Despite a poor plot, there's enough to keep the testosterone-filled spirits upbeat, specially for speed addicts and auto freaks with the rollicking car parade that includes the likes of a Phantom Rolls Royce, Lamborghini Murcielago, Enzo Ferrari, Ferrari F430, Ferrari Scaglietti, Mercedes SLR, McLaren AMGs...<br>

",
"<div class='Normal'>Will Smith is determined to swing both ways, in terms of artistic exploration. If, on the one hand he wants to give his viewers an adrenalin high with films like Men in Black, I Legend and Hancock, he also wants them to remember him as a high performer with soul-stirring acts like The Pursuit of Happiness and now, Seven Pounds.<br>
<br>
Ben Thomas (Will Smith) is the most unusual tax man in town. Unlike the sharks in the IRS, this sad man with soulful eyes goes looking for deserving people who should be given a tax break. Some tax man! Living all by himself in a fleabag motel, with a jelly fish for company, he hunts all day for suitable men and women who deserve a favour. And finds them in the usual places: in hospitals, bars and broken homes, where the almost dead and the hopeless wait for sordid ends. Forlorn Ben not only befriends them, he even finds a solution to their problems and ends up like the friendly neighbourhood Spiderman, albeit without the web and the flying fetish.<br>
<br>
And in the course of playing Good Samaritan, he manages to find love too, with beautiful, lonely Rosario Dawson who will die in a few months, if her pager doesn't ring. She has a congenital heart problem and the hospital has promised to page her if they find a donor. But love too turns out to be forbidden for angst-ridden Ben who desperately tries to turn his back to a second chance, only because it's redemption rather than romance that our hero is scouting for.<br>
<br>
So, is he doomed to rest content with a single night of passion that follows a romantic candle-lit dinner or can the music play on, past the morning too? Seven Pounds is a sincerely told, mushy tale about spreading good cheer and making the world a better place, with Smith essaying the role of the tormented do-gooder with impeccable zeal.<br>
<br>

",
"<div class='Normal'>Based on the bestseller by journalist John Grogan, the film is a must for dog lovers. Marley, the Grogan's hyperactive labrador, isn't just a dog you see. He's actually the counsellor who keeps the family together through their sundry ups and downs, which are actually part and parcel of every young couple's life.<br>
<br>
John (Owen Wilson) and Jenny (Jennifer Aniston) are two ambitious, young journalists in South Florida who adopt Marley, before they start their family. It doesn't take long for them to recognise their dog's destructive tendencies and they brand him the `lovable' hound from hell. For Marley eats up everything, including the answering machine and a diamond necklace and transforms their house into a messed up, much lived-in home. Soon, the couple undergo the usual trauma of parenthood, with both having to compromise on their careers for the sake of their family and the relationship enters rough weather. But there's Marley, remember: the only constant in their changing lives. He's there when the babies cry the night through with colic. He's there when Jenny needs some comfort and care while tending to her brood. And he's there with John on the seaside, listening man-to-man, as his master pours out his angst to him.<br>
<br>
So what's the glue that keeps the family together? Marley and his unconditional love for the Grogan family, which demands nothing from them, except their heart. This one's for a mushy, sentimental family viewing, with the doggoned tale of a man's best friend.<br>
<br>
<br>

",
