"Cuerpo","Calificacion"
"<div class='Normal'><strong>Story:</strong> Even monsters need a vacation! While enjoying some quality family time on a cruise away from his monster hotel, Dracula (voiced by Adam Sandler) falls in love with a human but there's more to her than meets the eye.<br><br><br><strong>Review:</strong> Sony Pictures Animation's Hotel Transylvania 3 is perhaps the franchise’s weakest instalment so far. Despite A list actors getting back together to voice the brand’s likeable monsters, the story is way too clichéd and predictable for your liking. While you wait to be transported to a world of love, laughter and tears, all you end up feeling is sleepy. With zero twists and turns in the plot, the third outing fails to hold your interest despite its relatively short runtime (1 hour, 37 minutes).<br><br><br>While animation films tend to cater to moviegoers across all age groups, you fear that this might not even appeal to its core target audience — the kids. Since Pixar studios have upped the ante for animation films over the years, Sony’s earnest but formulaic attempt looks grossly mediocre and outdated, in this day and age. <br><br><br>The story lacks the emotional connect or conflict; making the dialogue seem preachy, repetitive and eventually yawn-inducing. The fun moments barely last as they are often overshadowed by an over simplistic and hackneyed plot. Even the father-daughter track, which lies at the heart of this story, fails to salvage this forgettable saga about ‘monsters can be good people’. Hotel Transylvania 3 has its meagre share of heartfelt moments but overall, it’s not the adventurous vacation film you expect it to be. <br><br><br>Like its visibly jaded vampire protagonist, this franchise needs a vacation to figure out how and whether it should resurrect for the fourth time. Immortality could be worse than death after all. <br> <br>","2.5"
"<div class='Normal'><b>Skyscraper Story</b>: Former FBI Hostage Rescue Team leader and U.S. war veteran Will Sawyer, now assesses security for skyscrapers. On assignment in China, he’s trapped along with his family in the tallest building in the world as it is suddenly set ablaze. It’s now up to him to survive and rescue them.<br><br><b>Skyscraper Review</b>: Dwayne Johnson is at the point in his career where he can confidently feature in derivative films with the knowledge that they'll coast along merely on his charisma. 'Skyscraper' certainly doesn't try to be new or innovative in any way. It's the same setup we've seen before in 'Towering Inferno' and 'Die Hard' where people are trapped in buildings and need to be rescued against all odds. That's pretty much what we have here as well. Throw in some 'Mission: Impossible - Ghost Protocol' stunts and that summarises this film in a nutshell. <br><br>But fortunately, the makers are aware of this, so they go ahead and embrace it. Writer-director Rawson Marshall Thurber has worked with Dwayne Johnson before so he knows precisely how to utilise his acting skills. Johnson's Will Sawyer isn't too complicated - he is a trained soldier who has been relegated to a security job after a failed mission costs him his leg. However, he needs to tap into his military training when his family is put at risk when they get trapped in the world's tallest building in Hong Kong. All Sawyer cares about is saving his wife and kids, while taking on the bad guys. Even the villains are your standard East-European mercenaries whose primary motive is money. They aren't exactly threatening and are far from memorable. <br><br>Despite all these negative aspects, the movie falls smack down the middle of 'you get what you paid for' territory. This allows you to push logic out of the building (pun intended) and savour the mayhem as it unfolds. Johnson and Neve Campbell, as Sawyer's wife Sarah, have ample experience to keep their performances rooted enough without being campy. That said, this one might be worth your money and time only if your expectations aren't sky-high and you enjoy predicting what happens next in movies<br><br>","3.0"
"<div class='Normal'><strong>Hotel Artemis Story: </strong>Set in a dystopian, riot-torn Los Angeles, the film follows a nurse (Jodie Foster) who runs a secret, members-only emergency room for the criminals. The existing tension escalates when the most dangerous crime lord (Jeff Goldblum as the Wolf King) shows up at the hotel, wounded. <br><br><strong>Hotel Artemis Review: </strong>Dark, brooding and eerie — Hotel Artemis is a suspenseful and atmospheric crime thriller that works on your mind but fails to build upon the tension created. Boasting of some compelling performances led by Foster, the film manages to up your intrigue but struggles to maintain it. Set within the four walls of the hotel and revolving around a handful of notorious characters with mysterious motives, the narrative tempts us to discover their backstories. However, this road to discovery and redemption is way too sluggish and stretched to be engaging. The ambiguity becomes exhausting beyond a point, leading to boredom. <br><br>A film of this nature deserved slicker action scenes as well, which is grossly missed. Drew Pearce’s ambition to infuse human emotions in this unsettling, and partially gory, crime thriller doesn’t really work. What you eventually get is a random mishmash of psychological horror and futuristic humane drama. Jodie Foster is brilliant as always. <br><br>Overall, the film struggles with pace but one can still watch it for the unusual treatment and character portrayal. Only if the director could take it all further to a logical conclusion instead of targeting his movie for a niche, select film festival audience. <br><br>","3.0"
"<div class='Normal'><strong>Size does matter! <br><br>Ant Man And The Wasp Story:</strong> Scott Lang, (Paul Rudd as Ant man) the former convict turned ant-riding, size-altering superhero is indebted to help Dr Hank Pym (Michael Douglas) and his daughter Hope aka the Wasp (Evangeline Lilly), for what he did to them two years ago. The three must dig into the past to unravel secrets that attract the unsolicited attention of their unusual nemesis. <br><br><strong>Ant Man And The Wasp Review:</strong> MCU! Just how do they do it? Despite hordes of Marvel films being unleashed on the audience at regular intervals, superhero exhaustion is nowhere in sight. Set after 'Captain America: Civil War' and leading up to the events of ''Avengers: Infinity War','the Ant-man sequel is a thrilling fun ride that engages you emotionally and amuses you with its CGI antics and comic demeanour. <br><br>The sequel sees Scott Lang smartly juggling between his fatherhood duties, tackling the FBI and a new superhero mission. Though the shrinking ability of the protagonists is the film’s USP, what lies at the heart of this film is the father-son bond between Casey-Scott and Hank-Hope. <br><br>Peyton Reed lets human relationships drive the narrative. Not once does he allow the ‘juicy tech stuff’ to own his film, which is refreshing and perhaps the reason why Marvel films command such a massive fan base across the globe. <br><br>Michael Pena’s superb presence and rapid-fire monologue coupled with a rant on truth serum turns out to be the film’s funniest scene. However, what does feel underwhelming are the ‘villains’ or the lack of real ones per se. <br><br>Overall, 'Ant-Man' and the Wasp is the Marvel underdog that scores big, replicating the nature of the ongoing Football World Cup. It also explains why Lang didn’t join the Avengers in Infinity War. Watch it!<br><br>PS: Do wait for the mid and post credits scenes! <br>","4.0"
"<div class='Normal'><b>STORY: </b>A bunch of friends, who have been playing the game of ‘Tag’ from the age of 9, gather for one final round that involves flying in from different parts of the country and indulging in any kind of mental as well as physical stunts just to tag the undisrupted king of this gang.<br><br><b>REVIEW: </b>Childhood friendsHogan Malloy (Ed Helms),Bob Callahan (Jon Hamm), Chilli Cilliano (Jake Johnson)<b>, </b>Kevin Sable (Jeremy Renner)have never been able to tag their playmate Jerry Pierce (Jeremy Renner) since childhood because of his quick reflexes and sharp presence of mind. In a desperate move to win the game, Hogan tells his mates that Jerry is going to play his last game with them as he was planning on getting married.<br><br>‘Tag’ is based on a true-life story that’s really adorable, but the film fails to impress with its screenplay and execution. The film is riddled with mean moments and sequences where friends stoop down to low levels of integrity and morality. They’ll do anything to avoid being the ‘it’ player of the gang and that is in stark contrast to what the original story is all about.<br><br>Debut director Jeff Tomsic’s attempt is honest but the execution is not. With actors like Jon Hamm, Jeremy Renner and Ed Helms on board, he could have turned this ruthless comedy into something more likeable.<br>","2"
"<div class='Normal'><strong>Story:</strong><br>A sequel of Sicario (2015), this film picks up the same theme of Mexican drug cartels and their involvement in illegal cross border activities between the US and Mexico. This time, CIA operative Matt Graver (Josh Brolin) teams up with Alejandro Gillick (Benicio del Toro) to crack down on the cartels trafficking people across the border and allowing terrorists to enter Texas. <br><br><strong>Review:</strong><br>As sequels go, Sicario: Day Of The Soldado tries to up the scale and action from its predecessor. Where director Denis Villeneuve’s 2015 thriller managed to strike a fine balance between grit and drama, Stefano Sollima’s sequel stays focussed on action alone. A key character from the first film, Kate Mercer (Emily Blunt) isn’t a part of the story this time and that makes all the difference. The narrative misses her pathos and her constant sense of fear. While Sicario 2 is an engaging film with great action sequences, the stunning visual appeal doesn’t quite make up for the absence of a genuine emotional core. This one has all the thrills but very little heart.<br><br>The story is based entirely around the US-Mexico border. The setting keeps shifting between Texas and Mexico City, but for the most part, the film plays out in the desert between the two countries. It’s a dusty landscape that’s reminiscent of the Westerns and that sets the mood for Sicario 2. The cinematography by Dariusz Wolski and the background score by Hildur Guðnadóttir make this movie a lot better than it actually is. Both the cinematographer and the composer work on the same template that made the original movie so artistically wonderful. While Sicario 2 has its technical strengths, the writing is a bit wish-wash. The lead characters, Graver and Alejandro wage a war against the drug cartels and the Mexican police, but their actions are a bit too convenient and there are no consequences at all. They kidnap the daughter of a Mexican drug lord and there’s no backlash from his gang. The writers really seemed to have missed the bus with Sicario 2.<br><br>Nevertheless, the performances by Josh Brolin and Benicio del Toro are top notch. Brolin plays the clay-cold Graver with ease, while del Toro builds on the legend of his character and his ability to be Mexico’s version of Léon: The Professional. While he’s not dodging bullets, he can pull off the most outrageous feats with ease. If you enjoy the thrill of gun fights and larger-than-life characters, Sicario 2 can be an engaging experience. Just don’t expect it to make too much sense.<br>","3.0"
"<div class='Normal'><strong>Story: </strong>Set in a dystopian future, the mayor of the fictional Japanese city Megasaki, banishes all the dogs in the region to an abandoned island after a canine-flu virus infects them.<br><br><strong>Review: </strong>If you’ve watched any of Wes Anderson’s films, you know you’re in for a unique experience. Anderson’s love for vivid colours and symmetry is now a case-study in film cinematography. But in ‘Isle of Dogs’, it’s easy to see that he takes his idiosyncrasies a notch higher in what is his second stop-motion film. Every single frame has been painstakingly crafted. When combined with Anderson’s perfectly balanced compositions and bright colour palate, the result is genuinely magical.<br><br>‘Isle of Dogs’ sounds like ‘I Love Dogs’, and it’s easy to see why dog-lovers are in for a treat. But irrespective of your canine preferences, this is an endearing story. The central focus is on a pack trying to survive on meagre scraps and rubbish they can find. This changes when Atari – the mayor’s nephew, sneaks on to the island to find his dog Spots. The pack is voiced by Bryan Cranston, Edward Norton, Bob Balaban, Bill Murray & Jeff Goldblum, and it’s hard not to fall in love with them individually, and as a group. The entire talented ensemble is perfectly cast, and the dialogue is tailor-made for each actor, and who we think they are in real-life. Although there are multiple angles to it, the story serves as an analogy for our love of animals, while also possibly reflecting how immigrants are treated as outsiders within their country of residence. Both of which are timely, and relevant. There’s also an abundance of Japan’s vibrant culture and the perfect mix of their heritage along with Anderson’s futuristic vision.<br><br>However, the biggest grievance with this film is the lack of subtitles for the Japanese dialogues. Granted there are translations worked into the narrative so it doesn’t feel forced, but this leads to some disconnect with the Japanese characters. It’s an odd decision not to include those subtitles, as that takes you out of the film’s experience during those exchanges. Still, Anderson ensures that you’re connected to all the charming characters when you aren’t being dazzled by the film’s sheer gorgeousness. Especially at a time when CGI-heavy visual effects bombard us, it’s indeed heartening to experience an old-school animation film like this. It’s one of the movies that should be experienced on the big screen to truly appreciate all the intricate details that have gone into creating it step-by-step. But it’s also a movie that you’d want to own just to admire its beauty as every screenshot is a work of art worth hanging on your wall.<br>","4"
"<div class='Normal'><strong>Hereditary Story: </strong>The Graham family faces an unknown evil that has been plaguing the matriarch of the family since generations.<br><br><strong>Hereditary Review:</strong> A miniaturist artist Annie Graham (Toni Collette) has a troubled relationship with her mother Ellen who was a highly secretive person. After Ellen passes away, Anne’s daughter Charlie starts acting strange. Later, she meets with a terrible accident and her brother Peter blames himself for it. As he is dealing with guilt, Annie is urged to conduct a séance to help her move on with the losses she has suffered. The exercise goes wrong and the entire Graham family have to face a mysterious evil force that is unstoppable and something that will not leave them alone.<br><br>Horror films have a habit of following a formula and recycling it until another film comes and charts a new course. Haunted homes, demonic possessions and other similar tropes have littered the landscape of the genre since a while. That way, Ari Aster’s directorial debut 'Hereditary' is truly an original that moves slowly yet completely and totally terrifies you when you least expect it to. A stylistically brilliant film, 'Hereditary' cleverly makes you suspect that it could just be a psychological thriller and not an out-and-out horror, until the supernatural takes hold and completely scares you. Aside from the supernatural elements, the film is a vividly-crafted story of relationships between parents and their kids.<br><br>Ari effectively creates an eerie atmosphere that is further accentuated by a blood-curdling soundtrack by Colin Stetson. Pawel Pogorzelski creates a creepy atmosphere with his cinematography and amplifies the scare-factor by focusing on the cold weather. Toni Collete as Anne has a perfect character graph and delivers a masterful performance along with other cast members including Alex Wolff, Milly Shapiro and Gabriel Byrne. Ann Dowd has a wonderful role and plays it to perfection. The filmmaker is spot on with his casting in this one. <br><br>If you are looking to truly and completely get scared, 'Hereditary' will ensure that happens in the best and most unexpected way possible.<br><br>","4"
"<div class='Normal'><strong>Ocean's 8 Story: </strong>Debbie Ocean (Sandra Bullock) is released from prison and she immediately starts working on a plan to steal Cartier diamonds from the Met Gala. She seeks the help of her best friend Lou (Cate Blanchett) and they assemble an all-women crew to execute the high-stake heist. <br><br><strong>Ocean's 8 Review: </strong>‘Ocean’s 8’ drops all the men in favour of a scintillating cast of women. The new all-women setup puts a fresh perspective on this heist franchise. As you’d expect from an ‘Ocean’s’ movie, this film has some great set pieces on planning the robbery. Because the film’s central characters are all women, their conversations mix the usual hustle talk with fashion, shopping and style related subjects and that makes things interesting. While they do talk about men too, thankfully it doesn’t go over-the-top with the bashing or swooning. The girls stay focussed on their task at hand, to pull off the heist in the smartest of fashion. The film has the same busy and slick feel of Steven Soderbergh’s movies with George Clooney; it’s just as funny and engaging too. But it’s not as smart or detailed as those films. In an attempt to pull off the twists, the film takes a few cinematic liberties. <br><br>Sandra Bullock takes over the ‘Ocean’ mantle from George Clooney. She’s introduced as his sister and he’s pretty much dead. Nonetheless, she talks her way out of prison and the moment she steps out, she starts recruiting a crew to pull off a heist that would make her infamous brother proud. Cate Blanchett steps into the shoes of the best friend and fixer, a role that was Brad Pitt’s domain in the past. A lot of the previous film’s characters make surprise cameos in the movie too. But for all its references to the franchise, ‘Ocean’s 8’ also brings a lot of new things to the table. The new characters bring new quirks. Helena Bonham Carter plays a down-on-luck fashion designer Rose Weil, Rihanna is the hacker with the weird name Nine Ball, Mindy Kaling is the Indian girl who’s an expert on diamonds and jewellery, Sarah Paulson is Tammy who’s an expert on logistics and finally there’s Awkwafina, the Asian girl with the sleight of hand. There’s also Anne Hathaway, who plays a Hollywood actress and the ladies piggy back on her celebrity status into the Met Gala in New York. <br><br>‘Ocean’s 8’ is just as audacious as it is clever. The first half of the film especially sets up a strong story. The way Sandra Bullock’s Debbie swindles and shop lifts with confidence is fantastic. Blanchett’s character’s people skills and constant sense of sarcasm and cynicism is entertaining too. Once the other girls join in, the team shows some great chemistry and there’s a lot witty dialogue on offer. The second half loses a little steam, especially during the climactic portions when all the heist details are revealed. The script doesn’t quite incorporate the same detail and finesse in explaining the robbery as it does in setting things up. <br><br>But a spectacular performance by Sandra Bullock overshadows the minor flaws in the plan. Helena Bonham Carter and Anne Hathaway are pitch-perfect with their comedic flair too. A brief appearance by James Corden right at the end shakes things up nicely too. Director Gary Ross, presents a well-cut heist movie. There’s a constant reference to Clooney’s Danny Ocean in the film which also keeps the spark alive. ‘Ocean’s 8’ may not be as sharp as the films that featured Clooney and his gang pull off world class thefts with élan, but this movie has a lot of style and substance to please even the hard core genre fans.<br>","3.5"
"<div class='Normal'><strong>Incredibles 2 Story:</strong> Picking up after the events of ‘The Incredibles’ (2004), the Parr family must deal with a new set of problems brought on by a new super-villain.<br><br><strong>Incredibles 2 Review:</strong> Although they saved the city of Metroville, superheroes are still decommissioned. After their home was destroyed, the Parr family is given a new lease of life when they’re approached by wealthy siblings Winston (Bob Odenkirk) and Evelyn Deavor (Catherine Keener). Elastigirl (Holly Hunter) is tasked with being the new face of superheroes in the hopes of restoring their legal status. To support her, Mr Incredible (Craig T. Nelson) takes on the responsibility of looking after the kids at home, which proves to be quite the handful. To make matters worse, the mind-controlling villain Screenslaver threatens the city.<br><br>When you consider the rapid-fire rate of superhero movies in today’s comic book franchise-driven landscape, it’s a surprise that this sequel took 14 years to make. Picking up right after the events of its prequel – the film wastes little time getting back into its quick-paced groove. Even though an entire generation has grown up exploring various aspects of superhero storytelling, ‘Incredibles 2’ manages to have a relatively fresh and unique perspective. Elastigirl and Mr Incredible are duty-bound to reverse the roles they typically play within the family, resulting in hilarious, yet thought-provoking situations. Additionally, the motivations of the ‘bad guy’ go far beyond being a generic villain with dreams of world domination.<br><br>This drives the film into engaging narrative territories that would undoubtedly appeal to older audiences. But there’s slapstick and eye-candy for younger kids to enjoy, peppered with ample comedy for all ages. All the voice acting is strong, but the MVP turns out to be the one with the least amount of dialogue – Jack-Jack, who absolutely steals the show. The fact that visual effects have developed so much over the past fourteen years only adds to the immersive experience, as each character and eye-popping action is brought to life in stunning animation. Writer & director Brad Bird believed in waiting for the right story to tell, and that decision certainly pays off in more ways than one as ‘Incredibles 2’ proves to be an Incredible amount of fun!<br><br>","4.0"
