"Cuerpo","Calificacion"
"<div class='Normal'>JUNO justifiably created a buzz at the Oscars. For here's a film that tackles a tangled topic -- teen pregnancy -- without getting into knots and tangles. It's such a fresh, uncomplicated look at one of the most compelling problems today. And it becomes more important in countries like India where an iron curtain is doggedly pulled down on such occurrences, despite the fact that teen sex -- and pregnancy -- is a truth that should no longer be denied here.<br>
<br>
<div id='mvslider' style='display:none;'>movie",
"<div class='Normal'>LAST year, they gave us Epic Movie, a film that spoofed almost all the recent Hollywood films. This year, the target is Frank Miller's successful gorefest 300, where King Leonidas goes to war against the mean Mr Xerxes with his spartan (just a handful) army of Spartans, while his queen (Carmen Electra) waits for her warrior to return, with a bit of fun and frolic to bide her time.<br>
<br>
Of course, it's all supposed to be intensely funny, with Xerxes being fat and gross and Leonidas being born with a beard and six packs and being trained the Daniel Craig-Casino Royale way (he's hardened by being hit where it hurts the most). But the slapstick jokes are so loud, so grotesque (mostly to do with vomit, fecus), they fail to tickle your funny bone. Also, the film chooses to spoof any and everything that has been entertainment news including a bald Britney, Brangelina's adoption bid, Paris Hilton and her pet dog, the judges on American Idol....too crowded, clumsy and kitchy.<br>
<br>

",
"<div class='Normal'>SOUTH Korea has been trying to do a Hollywood for long. This time, it comes a bit close, specially in terms of special effects. Prolonged shots a giant monster slithering across the landscape of Los Angeles, guzzling cars, buildings and humans isn't quite Jurassic Park, Godzilla or King Kong. Nevertheless, it isn't tacky at all and does manage to make you slide back in your seats a bit to avoid the snaky-tongued serpent lunging across the screen.<br>
<br>
It's an ancient Korean myth reworked by the film maker who brings to life a pair of lovers 500 years after they committed suicide in order to escape the fury of an imoogi (a bad serpent) who wanted to metamorphose into a dragon. And the only way he could do it was by gulping the girl with the dragon tattoo. Now, she happens to be in L.A. with the tattoo intact and the imoogi knows it must slither across the seas and hiss on American soil, in order to fulfil its serpentine fantasies. But remember, the girl has the guy to save her -- again the ancient lover, reborn as a newspaper reporter. And it takes more than mere pen-pushing to out-fang the enemy.<br>
<br>
The film blends the occidental and the oriental as it moves between America, here and now, and Korea's Chosun dynasty, 500 years ago. More importantly, it showcases South Korea's advances in film technology in this lavishly mounted film that has a feel -- just a feel -- of Hollywood.<br>
<br>

",
"<div class='Normal'>TWO terminally ill patients discover a rare bond of friendship in the clinical environs of a hospital room and draw up a `bucket list' of things they'd like to do, before they hit the bucket. Ordinary. But if the dying duo includes Jack Nicholson and Morgan Freeman, the ordinary story gets a dash of extraordinary. Specially when the two are poles apart and are called upon to play characters they are adept at essaying.<br>
<br>
Jack Nicholson is Jack Nicholson: the irascible, mean, impolite millionaire who has made his millions, but has no one to share the bounty with. He's failed miserably in all his relationships, despite being married four times and having a daughter who hasn't seen him for years. The only person he can communicate with is his secretary, but he makes it a point to be offensive with him too. Morgan meanwhile, is so very Morgan: the gentle giant who may not have the millions, having spent his life under cars as a mechanic; yet he has family, family values and faith. Despite their class differences, the two cancer patients find a camaraderie that sees them sharing some of the most memorable moments of their lives together, even as they attend to all the unfinished business before signing off. So you have them sky diving, Himalaya climbing, Taj wowing, Pyramid gazing....and giving each other the lessons in life that still remain unlearnt.<br>
<br>
A sweet, feel good film about death and friendship, The Bucket List is more about kalakars (actors) than kahani (story).<br>
<br>
<br>

",
"<div class='Normal'>You need to make a choice: who's the fairest of them all. Is it Tom (Zach Braff) the laggard who needs to work (in an advertising agency) because his lawyer wife's had a baby, but hates his job, hates his boss and doesn't have much to boast about. Or is it Chip (Jason Bateman), the wheel chaired boss who hates Tom and loves his wife (Amanda Peet) who happens to be his high-school flame.<br>
<br>
Tom and Chip play a vile game of upmanship, with each trying to outdo the other at being mean. Of course, Chip has the veneer of niceness around him, which makes him win all the sympathy, while Tom is seen as the guy who can stoop so low as to throw a handicapped man off his wheelchair and even flaunt his mountain bike in his face.<br>
<br>
There's nothing smart about this two-boys-one-girl romance which sorely lacks a comedy track, despite being mounted as a comedy<br>
<br>
<br>

","2"
"<div class='Normal'>IT'S sweet, it's shmaltzy, and it's completely endearing. Primarily because the story comes straight from the heart, dealing with the attempts of a young orphan to find his parents he's never seen, with the only weapon he has: the musical compass within. Like our very own Ishaan Awasthi, August Rush is a special kid, gifted with a prodigious musical talent, and equally lonely. And it is this internal rhythm -- the music that he hears within -- that tells him he will one day find his parents, who are musicians too. He lands up in New York and finds a greedy guardian in Wizard (Robin Williams), a Fagin-like character who discovers the child's gifts and tries to use him to make a quick buck. But August isn't an ordinary kid and follows his own drums...which lead him to Central Park, where he manages to magically connect with his parents, who had also been enstranged after a clandestine encounter.<br>
<br>
Truly dreamy, with loads of great music and stunning visuals, this is predictable, yet watchable fare. More importantly, it's Charles Dickens, revisited, albeit as a musical.<br>
<br>
<br>
<br>

",
"<div class='Normal'>THIS classic brother versus brother film was premiered at Cannes and managed to create an impression. Maybe because its simple storyline upholds the most rudimentary lessons on moral science. As the top cop (Robert Duvall) tells his gangster son, Bobby (Joaquin Phoenix): it's a war out there, you're either with us or with the bad guys. Reminiscent of Bushspeak, did you say?<br>
<br>
Well, here the terrorists have been supplanted by the Russian drug mafia which has spread its tentacles through New York city, with the power of muscle and gun. Bobby works for them and runs their nefarious clubs, spending most of his time in the smoky backrooms with his luscious girlfriend (Eva Mendes). Naturally, he's the black sheep of the family, since his dad's the police chief and his brother (Mark Whalberg) is a top-ranking officer, hellbent on busting the drug cartels. But all black sheep must return to the fold someday and so does this prodigal son too, specially when the drug mafia guns for his father and his brother. First he doubles up as an informer, while working within the mob, but when his cover is blown and violence strikes, he joins the force itself and literally smokes 'em out.<br>
<br>
Actually, with such high-performers like Joaquin, Wahlberg and Duvall, the film could have been a cracker. But the predictable script and the formulaic twists and turns reduce it to a run-of-the-mill, albeit watchable film. The biggest casualty is Eva Mendes who is completely wasted in the all-boys bandobast.<br>

",
"<div class='Normal'>Hollywood would like to peddle this film as a sequel to The Devil Wears Prada, that sweet and edgy ode to the Bi***y Boss-badgered employee relationship. But this one's simply sweet and hardly edgy. And that's because there's no Meryl Streep to play the acerbic angel in Devil's clothing. Nevertheless there's a Julia Robertish (read My Best Friend's Wedding) feel which transforms this routine romance into fairy tale fluff.<br>
<br>
Jane Nichols (Katherine Heigl) is the archetypal good samaritan who has spent her short life doing stuff for people as their Best Buddy, Best Secretary, Best Big Sister, Best Elder Daughter....And Best Bridesmaids too. With 27 bridesmaid's dresses stuffed in her closet, she doesn't seem to have space for any more. Specially not in this case, where she'd rather be the bride than the bridesmaid. For her younger sister Tess arrives in New York, indulges in a whirlwind romance with the man she has silently adored -- her boss -- and decides to marry him, while Jane watches, heartbroken and horribly distressed. Add to this the vexatious journo (James Marsden) who writes about her pitiable `Always, always the Bridesmaid' status in his column, and you have sweet Jane subsumed by a tsunami of woes. Somewhere down the demanding line, Jane must suspend her sweetness and learn to say `No', if she wants to graduate from bridesmaid to bride and de-clutter her closet by discarding the 27 dresses for that one dream dress in white.<br>
<br>
Both Heigl and Marsden put up a spirited show as the quibbling couple, with the film throwing up some comic sequences as an overworked Jane keeps hopping from an American wedding to an Indian wedding and ends up wearing the bindi on a dress. Nope, it's not easy being a bridesmaid, specially when there's so much love in the air.<br>

",
"<div class='Normal'>PRE-HISTORY pre-supposes loads and loads of super special effects and high octane action with quixotic characters that are bullish, bearish, bindaas folks who have more to distinguish them from their modern cousins than their animal skin underwear. Does Roland Emmerich's blast from the past pass this litmus test and give you the mandatory masala? Only partially.<br>
<br>
<div id='mvslider' style='display:none;'>movie",
"<div class='Normal'>COYBOW Clint is fast emerging as one of the most serious directors of Hollywood. Ever since Unforgiven, the actor-director has proved his forte with meaningful cinema that makes America and the world sit up. Letters...is a sequel to his earlier film Flags of Our Fathers, where the director approaches the same events of World War ll from the other side. If the first film showcased the heroics of the American soldiers who fought a fierce battle in the island of Iwo Jima against the Japanese, then the second film lays down the anguish and the heroism of the Japanese soldiers, who were fighting a losing battle under expedient conditions. A terrific idea and a truly global perspective which smartly brings to light the futility of war.<br>
<br>
The film is entirely in Japanese, with subtitles, and the Americans are shown either in flashback or as a prisoner of war who is treated with utmost warmth by his enemies. Even Ken Watanbe as General Kuribayashi, who heads the Japanese regiment, is actually a humane pacifist who sorrowfully watches his soldiers die and reminisces of his earlier amiable encounters with the Americans, when he believed Americans and Japs were natural allies rather than enemies. There are moving sequences of battle, specially those where the young Japanese boys prefer to kill themselves with grenades when their own army abandons them.<br>
<br>
In the end, Letters... is a moving -- and artistic -- indictment of war and violence which should actually have no place in global politics.<br>
<br>

",
